ID;Name;Kategorie;Icon;Vorschlaege;SaisonMonate
kokosmilch;Kokosmilch;Grundzutaten;Milk;Dose 400ml,Creamed;
senf;Senf;Grundzutaten;Package;Tube 200ml,Bautzner,Mittelscharf;
mayonnaise;Mayonnaise;Grundzutaten;Package;80% Fett Tube,Glas;
ketchup;Ketchup;Grundzutaten;Package;Heinz 500ml,Knorr;
remoulade;Remoulade;Grundzutaten;Package;Tube 200ml;
sojasauce;Sojasauce;Grundzutaten;Wine;Kikkoman 250ml,Dunkel;
worcestersauce;Worcestersauce;Grundzutaten;Wine;140ml Flasche;
tabasco;Tabasco-Sauce;Grundzutaten;Flame;Rot 57ml;
sriracha;Sriracha;Grundzutaten;Flame;Scharf (Grüne Kappe);
bbqsauce;Barbecuesauce / BBQ;Grundzutaten;Flame;Rauchig 400ml;
erdnussbutter;Erdnussbutter;Grundzutaten;Nut;Crunchy 350g,Creamy;
nutella;Nuss-Nougat-Creme;Grundzutaten;Cookie;450g Glas,750g;
honig;Honig;Grundzutaten;Egg;Blütenhonig 500g,Waldhonig;
ahornsirup;Ahornsirup;Grundzutaten;Wine;Grad A 250ml;
agavendicksaft;Agavendicksaft;Grundzutaten;Wine;Bio 250ml;
panermehl;Paniermehl;Grundzutaten;Wheat;500g Packung;
sauce;Sauce;Grundzutaten;Egg;Bechamel,Hollandaise;
guacamole;Guacamole;Grundzutaten;Egg;Frisch,Dip;
pfeffer;Pfeffer;Gewürze;Sparkles;Pfeffer (Schwarz),Pfeffer (Weiß),Gemahlen,Mühle,Ganze Körner;
paprika_edelsuess;Paprikapulver;Gewürze;Sparkles;Dose 50g,Scharf,Edelsüß;
basilikum;Basilikum;Gewürze;Sparkles;Gerebelt,Frisch,Im Topf,Dose 20g;
oregano_gewuerz;Oregano;Gewürze;Sparkles;Dose 20g,Gerebelt;
zimt;Zimt;Gewürze;Sparkles;Ceylon-Zimt,50g,Gemahlen;
zimtstangen;Zimtstangen;Gewürze;Sparkles;5 Stk;
currypulver;Currypulver;Gewürze;Sparkles;Gelb 50g,Mild;
curry_scharf;Currypulver;Gewürze;Sparkles;Madras Curry,Scharf;
knoblauchpulver;Knoblauchpulver;Gewürze;Sparkles;Streuer 60g;
chiliflocken;Chiliflocken / Chilischoten;Gewürze;Flame;Mit Saaten 50g;
muskatnuss;Muskatnuss;Gewürze;Sparkles;3 Nüsse mit Reibe,Gemahlen,Ganz;
thymian;Thymian;Gewürze;Sparkles;Dose 25g,Gerebelt;
rosmarin;Rosmarin;Gewürze;Sparkles;Dose 30g,Geschnitten;
petersilie_trocken;Petersilie;Gewürze;Sparkles;Streuer 20g,Gerebelt;
schnittlauch_trocken;Schnittlauch;Gewürze;Sparkles;Gefriertrocknet,Röllchen;
dill;Dillspitzen;Gewürze;Sparkles;Dose 20g;
kummel;Kümmel;Gewürze;Sparkles;Ganz 50g,Ganz,Gemahlen;
majoran;Majoran;Gewürze;Sparkles;Dose 15g,Gerebelt;
koriander_gewuerz;Koriander;Gewürze;Sparkles;40g,Gemahlen;
kreuzkummel;Kreuzkümmel (Cumin);Gewürze;Sparkles;Gemahlen 50g;
kurkuma;Kurkuma;Gewürze;Sparkles;Gemahlen 50g,Gelbwurz;
ingwerpulver;Ingwerpulver;Gewürze;Sparkles;Gemahlen 40g;
kardamom;Kardamom;Gewürze;Sparkles;Grün 30g,Gemahlen;
nelken;Nelken;Gewürze;Sparkles;30g Packung,Ganz;
lorbeerblaetter;Lorbeerblätter;Gewürze;Leaf;Ganz 10g;
piment;Piment (Nelkenpfeffer);Gewürze;Sparkles;Ganz 30g;
sternanis;Sternanis;Gewürze;Sparkles;Ganz 25g;
fenchelsamen;Fenchelsamen;Gewürze;Sparkles;Ganz 40g;
bockshornklee;Bockshornklee;Gewürze;Sparkles;Gemahlen;
cayennepfeffer;Cayennepfeffer;Gewürze;Flame;Scharf 40g;
chillipulver;Chilipulver;Gewürze;Flame;Scharf 50g,Chili;
krauter_provence;Kräuter der Provence;Gewürze;Sparkles;Mischung 40g;
ital_krauter;Italienische Kräuter;Gewürze;Sparkles;Mischung 40g;
garam_masala;Garam Masala;Gewürze;Sparkles;Indisch 50g;
ras_el_hanout;Ras el Hanout;Gewürze;Sparkles;Marokkanisch 50g;
zaatar;Za’atar;Gewürze;Sparkles;Orient-Mix 50g,Zaatar;
sumach;Sumach;Gewürze;Sparkles;Säuerlich 50g,Sumac;
wasabipulver;Wasabi;Gewürze;Sparkles;Dose 30g,Meerrettichpulver;
barlauch_gewuerz;Bärlauch;Gewürze;Leaf;Dose 15g,Gerebelt;
estragon;Estragon;Gewürze;Sparkles;Gerebelt 15g;
bohnenkraut;Bohnenkraut;Gewürze;Sparkles;Dose 20g;
liebstoeckel;Liebstöckel;Gewürze;Leaf;Gerebelt 15g,Maggi-Kraut;
kerbel;Kerbel;Gewürze;Sparkles;Gerebelt 15g;
safran;Safran;Gewürze;Sparkles;0.1g Briefchen,Fäden;
vanilleschote;Vanille;Gewürze;Sparkles;1 Schote im Glas;
tk_pizza;TK-Pizza;Fertig & Tiefkühlprodukte;Pizza;Salami,Margherita,Speciale,Tonno,Wagner / Dr. Oetker,2er Pack;
tk_pommes;TK-Pommes;Fertig & Tiefkühlprodukte;Package;Frites,Süßkartoffel,Backofen 1kg,Steakhouse;
tk_gemuse_mix;TK-Kaisergemüse / Gemüsemix;Fertig & Tiefkühlprodukte;Package;1kg Beutel,Suppengemüse;
tk_erbsen;TK-Erbsen;Fertig & Tiefkühlprodukte;Package;450g,1kg,Junge Erbsen;
tk_spinat;TK-Spinat;Fertig & Tiefkühlprodukte;Package;Iglo 450g (Portions-Plopps),Ganz 500g;
tk_krauter;TK-Kräuter;Fertig & Tiefkühlprodukte;Package;Iglo Streudose 50g;
tk_beeren;TK-Beerenmischung;Fertig & Tiefkühlprodukte;Cherry;750g Beutel,Ungezuckert;
tk_himbeeren;TK-Obst;Fertig & Tiefkühlprodukte;Cherry;500g Beutel,Himbeeren,Erdbeeren,Blaubeeren;
tk_chickennuggets;TK-Chicken Nuggets;Fertig & Tiefkühlprodukte;Drumstick;500g Beutel mit Dip;
tk_fruhlingsrollen;TK-Frühlingsrollen;Fertig & Tiefkühlprodukte;Package;Mini 20er Pack,Groß 2 Stk;
tk_lasagne;TK-Lasagne;Fertig & Tiefkühlprodukte;Package;400g,1kg Familientablett;
tk_brezeln;TK-Laugenbrezeln zum Aufbacken;Fertig & Tiefkühlprodukte;Wheat;6er Pack mit Salz;
tk_brotchen;TK-Aufbackbrötchen;Fertig & Tiefkühlprodukte;Wheat;9er Pack Coppenrath;
dosen_linsen;Linseneintopf;Fertig & Tiefkühlprodukte;Soup;Erasco 800g mit Würstchen,Dose;
dosen_erbsen;Erbseneintopf;Fertig & Tiefkühlprodukte;Soup;Erasco 800g,Dose;
dosen_tomatensuppe;Tomatensuppe;Fertig & Tiefkühlprodukte;Soup;400ml,Dose,Pack;
dosen_ravioli;Ravioli;Fertig & Tiefkühlprodukte;Soup;Maggi 800g,Dose;
instant_nudeln;Instant-Ramen;Fertig & Tiefkühlprodukte;Soup;Huhn,Rind,Duck,5er Pack;
mikrowellen_reis;Reis (Mikrowelle);Fertig & Tiefkühlprodukte;Package;Basmati 250g,Mediterranean;
tk_torte;TK-Torte;Fertig & Tiefkühlprodukte;Cake;Coppenrath Schwarzwälder;
tk_kuchen;TK-Kuchen;Fertig & Tiefkühlprodukte;Cake;Blechkuchen 1kg;
tk_windbeutel;TK-Mini-Windbeutel;Fertig & Tiefkühlprodukte;Cake;250g Beutel;
tk_eiscreme;Eiscreme;Fertig & Tiefkühlprodukte;IceCream;Cookie Dough 465ml,Peanut Butter;
tk_stieleis;Stieleis;Fertig & Tiefkühlprodukte;IceCream;Mandeln 4er,Classic,Magnum;
tk_donerfleisch;TK-Dönerfleisch / Gyros;Fertig & Tiefkühlprodukte;Flame;Hähnchen 500g,Pfannengericht;
tk_falafel;TK-Falafel;Fertig & Tiefkühlprodukte;Package;300g Beutel;
tk_veggie_schnitzel;TK-Vegetarisches Schnitzel;Fertig & Tiefkühlprodukte;Package;Rügenwalder 2er;
tk_veggie_burger;Vegane Burger;Fertig & Tiefkühlprodukte;Sandwich;2er Pack 226g;
tk_knoblauchbrot;Kräuterbaguette;Fertig & Tiefkühlprodukte;Wheat;Meggle 2er Pack;
tk_flammkuchen;TK-Flammkuchen;Fertig & Tiefkühlprodukte;Pizza;260g;
tk_gyoza;TK-Gyoza / Dumplings;Fertig & Tiefkühlprodukte;Package;Geflügel 400g,Veggie;
tk_edamame;Edamame;Gemüse;Carrot;In Schale 400g;
tk_calamares;TK-Meeresfrüchte;Fertig & Tiefkühlprodukte;Fish;500g;
tk_cevapcici;TK-Cevapcici;Fertig & Tiefkühlprodukte;Flame;Rind/Lamm 500g;
dosen_chili;Chili con Carne;Fertig & Tiefkühlprodukte;Soup;Erasco 800g,Dose;
fertig_pizzateig_sossee;Pizzateig-Kombi-Set mit Sauce;Fertig & Tiefkühlprodukte;Pizza;600g Set;
dosen_huhnersuppe;Hühnersuppe;Fertig & Tiefkühlprodukte;Soup;With Nudeln 800g,Dose;
dosen_gulasch;Gulaschsuppe;Fertig & Tiefkühlprodukte;Soup;400g,Dose;
tk_kroketten;TK-Kroketten;Fertig & Tiefkühlprodukte;Package;Backofen 750g;
tk_rosti;TK-Kartoffelgericht;Fertig & Tiefkühlprodukte;Package;10 Stk 600g;
tk_backfisch;TK-Backfisch / Schnitzel;Fertig & Tiefkühlprodukte;Fish;Iglo 2er Pack;
tk_asiagemuse;TK-Asia-Pfannengemüse;Fertig & Tiefkühlprodukte;Package;750g Beutel;
tk_tortelloni;TK-Pasta;Fertig & Tiefkühlprodukte;Package;500g;
tk_kaiserschmarrn;TK-Kaiserschmarrn mit Rosinen;Fertig & Tiefkühlprodukte;Cake;500g;
spaghetti;Spaghetti;Getreideprodukte;Wheat;Barilla No.5,500g Packung,Vollkorn;
penne;Penne Rigate;Getreideprodukte;Wheat;500g Packung;
fusilli;Fusilli / Spirelli;Getreideprodukte;Wheat;500g Packung;
rigatoni;Rigatoni;Getreideprodukte;Wheat;500g Packung;
farfalle;Farfalle;Getreideprodukte;Wheat;500g Packung,Schmetterlinge;
linguine;Linguine;Getreideprodukte;Wheat;500g Packung;
tagliatelle;Tagliatelle (Bandnudeln);Getreideprodukte;Wheat;500g Packung;
lasagneplatten;Lasagneplatten;Getreideprodukte;Wheat;500g Packung;
gnocchi_frisch;Gnocchi;Getreideprodukte;Wheat;500g Packung,Kühlregal;
tortellini_frisch;Tortellini;Getreideprodukte;Wheat;Prosciutto 400g,Käse,Kühlregal;
basmatireis;Basmati-Reis;Getreideprodukte;Wheat;1kg Beutel,Bio;
jasminreis;Jasmin-Reis;Getreideprodukte;Wheat;1kg Beutel;
milchreis_roh;Milchreis (Rohreis);Getreideprodukte;Wheat;500g Packung;
risottoreis;Risottoreis (Arborio);Getreideprodukte;Wheat;500g Packung;
wildreis;Wildreis-Mischung;Getreideprodukte;Wheat;500g Packung;
haferflocken;Haferflocken;Getreideprodukte;Wheat;Kölln 500g,Bio,500g Packung,Kernig;
couscous;Couscous;Getreideprodukte;Wheat;500g Packung,Vollkorn;
quinoa;Quinoa;Getreideprodukte;Nut;Bio 500g,Weiß,Bunt;
bulgur;Bulgur;Getreideprodukte;Wheat;500g Packung;
polenta;Polenta / Maisgrieß;Getreideprodukte;Wheat;500g Packung;
hartweizengriess;Hartweizengrieß;Getreideprodukte;Wheat;500g Packung;
weichweizengriess;Weichweizengrieß;Getreideprodukte;Wheat;500g (Für Grießbrei);
glasnudeln;Glasnudeln;Getreideprodukte;Wheat;100g Packung;
mienudeln;Mie-Nudeln;Getreideprodukte;Wheat;250g Block,Wok;
sobanudeln;Soba-Nudeln;Getreideprodukte;Wheat;300g Packung,Buchweizen;
udonnudeln;Udon-Nudeln;Getreideprodukte;Wheat;Frisch 200g;
buchweizen;Buchweizen;Getreideprodukte;Nut;500g Packung,Kascha;
amaranth;Amaranth;Getreideprodukte;Nut;Bio 200g,Gepufft;
hirse;Goldhirse;Getreideprodukte;Nut;500g Packung;
chiasamen;Chia-Samen;Getreideprodukte;Nut;Bio 250g;
leinsamen;Leinsamen;Getreideprodukte;Nut;250g Packung,Geschrotet;
sonnenblumenkerne;Sonnenblumenkerne;Getreideprodukte;Nut;500g Beutel;
kurbiskerne;Kürbiskerne;Getreideprodukte;Nut;200g Beutel;
sesamsamen;Sesamsamen;Getreideprodukte;Nut;200g Beutel,Weiß,Schwarz;
pinienkerne;Pinienkerne;Getreideprodukte;Nut;50g Packung;
mandeln;Mandeln;Getreideprodukte;Nut;200g Beutel,Gehobelt,Ganz,Gemahlen;
walnuesse;Walnusskerne;Getreideprodukte;Nut;200g Beutel;
haselnuesse;Haselnusskerne;Getreideprodukte;Nut;200g Beutel,Gemahlen;
cashewkerne;Cashewkerne;Getreideprodukte;Nut;Ungesalzen 200g;
erdnuesse;Erdnüsse;Getreideprodukte;Nut;200g Dose,Geröstet,Gesalzen;
studentenfutter;Studentenfutter;Getreideprodukte;Nut;200g Beutel,Mit Rosinen;
muesli;Müsli;Getreideprodukte;Wheat;Knusper-Müsli / Granola,Schoko-Müsli,Früchte-Müsli,Bircher Müsli,500g,1kg;
cornflakes;Cornflakes;Getreideprodukte;Wheat;Kellogg’s 375g;
graupen;Perlgraupen;Getreideprodukte;Wheat;500g Packung;
parboiled_reis;Parboiled Langkornreis;Getreideprodukte;Wheat;1kg Beutel;
schokolade;Schokolade;Süssigkeiten;Cookie;Milka 100g,Ritter Sport,Lindt 70%,85%,100g,Zartbitter,Milka Crisp 100g,Weiße,Ganze Haselnuss 100g,Nuss,Schoko-Bons,200g Beutel,Kinder Schokolade,8 Riegel 100g,Vollmilch;
goldbaeren;Haribo Goldbären;Süssigkeiten;Cookie;200g Beutel,360g;
saure_gummibaerchen;Saures Weingummi;Süssigkeiten;Cookie;Haribo Saure Bären 175g;
chips;Chips;Süssigkeiten;Cookie;Funny-Frisch 150g,Pringles,150g Beutel,Gesalzen,Pringles 185g,Sour Cream,Paprika;
tortilla_chips;Tortilla-Chips;Süssigkeiten;Cookie;Käse 125g,Gesalzen;
popcorn;Popcorn;Süssigkeiten;Cookie;100g Beutel,Süß;
butterkekse;Butterkekse;Süssigkeiten;Cookie;Leibniz 200g;
kekse;Kekse;Süssigkeiten;Cookie;Doppelkekse,Haferkekse,Schokokekse;
waffeln;Manner Waffeln;Süssigkeiten;Cookie;Neapolitaner 75g Pack;
dominosteine;Dominosteine;Süssigkeiten;Cookie;Zartbitter 250g;10,11,12
lebkuchen;Lebkuchen;Süssigkeiten;Cookie;Schokoliert 5 Stk;10,11,12
gummischlangen;Haribo Phantasia / Schlangen;Süssigkeiten;Cookie;200g Beutel;
lakritz;Lakritz / Colorado;Süssigkeiten;Cookie;Haribo Colorado 200g;
fruchtbonbons;Nimm2 Bonbons;Süssigkeiten;Cookie;240g Beutel;
eukalyptusbonbons;Eukalyptus-Menthol Bonbons;Süssigkeiten;Cookie;150g Beutel;
kaugummi;Kaugummi;Süssigkeiten;Cookie;Menthol 50er Dosen-Pack,Airwaves,Extra;
muesliriegel;Müsliriegel;Süssigkeiten;Cookie;Schoko 6er Pack,Nuss;
energybar;Proteinriegel;Süssigkeiten;Cookie;Barebells 55g Schoko;
erdnusslocken;Flips;Süssigkeiten;Cookie;Lorenz 200g Beutel;
salzstangen;Salzstangen;Süssigkeiten;Cookie;250g Packung;
salzbrezeln;Salzbrezeln;Süssigkeiten;Cookie;200g Beutel,Mini;
marzipan;Marzipan-Brot;Süssigkeiten;Cookie;Niederegger 125g,Lübecker;
toffee;Toffifee;Süssigkeiten;Cookie;15er Packung 125g;
marshmallows;Marshmallows;Süssigkeiten;Cookie;300g Beutel;
moncheri;Mon Chéri;Süssigkeiten;Cookie;157g Packung;
rocher;Ferrero Rocher;Süssigkeiten;Cookie;16er Packung;
raffaello;Raffaello;Süssigkeiten;Cookie;230g Packung;
kinderbueno;Kinder Bueno;Süssigkeiten;Cookie;6er Pack;
duplo;Duplo Riegel;Süssigkeiten;Cookie;10er Pack;
hanuta;Hanuta;Süssigkeiten;Cookie;10er Pack;
knoppers;Knoppers;Süssigkeiten;Cookie;8er Pack;
m_and_ms;M&M;Süssigkeiten;Cookie;250g Beutel;
skittles;Skittles;Süssigkeiten;Cookie;160g Beutel,Fruits,Sour;
twix;Twix Riegel;Süssigkeiten;Cookie;5er Multipack;
kitkat;KitKat Chunky;Süssigkeiten;Cookie;4er Pack;
smarties;Smarties Riese;Süssigkeiten;Cookie;Rolle 130g;
ahoi_brause;Ahoi-Brause-Pulver;Süssigkeiten;Cookie;10er Pack;
salsa;Salsa;Süssigkeiten;Cookie;Mild,Scharf,Dip;
mineralwasser;Mineralwasser;Getränke;GlassWater;Sprudel,Medium,Still,6x1.5l PET,Kiste Glas 12x0.7l,Evian;
co2_kartusche;CO2-Kartusche;Getränke;Sparkle;Quick Connect,Normal;
apfelsaft;Apfelsaft;Getränke;Wine;100% Direktsaft 1l;
orangensaft;Orangensaft;Getränke;Wine;100% Direktsaft 1l,Hohes C,Mit Fruchtfleisch;
multivitaminsaft;Multivitaminsaft;Getränke;Wine;1l Karton;
traubensaft;Traubensaft;Getränke;Wine;100% Saft 1l,Rot;
ananassaft;Ananassaft;Getränke;Wine;1l Karton;
cranberrysaft;Cranberrysaft;Getränke;Wine;Ocean Spray 1l;
cola_original;Cola;Getränke;Wine;1.5l PET,6x1.25l,Zero,Dose 0.33l,6er Pack,Light;
fanta;Orangenlimonade;Getränke;Wine;1.5l PET,Zero;
sprite;Zitronenlimonade;Getränke;Wine;1.5l PET,Zero;
spezi;Cola-Mix;Getränke;Wine;Kiste 20x0.5l,Dose;
eistee;Eistee;Getränke;Wine;Lipton 1.5l,Pfanner 2l,Zitrone;
tonic_water;Tonic Water;Getränke;Wine;Indian Tonic 1l,Wild Berry,Schweppes;
bitter_lemon;Bitter Lemon;Getränke;Wine;Schweppes 1l;
ginger_ale;Ginger Ale;Getränke;Wine;Schweppes 1l;
energydrink;Energy Drink;Getränke;Wine;Dose 250ml,Sugarfree,Monster 500ml;
bier_pils;Bier;Getränke;Beer;Kiste 20x0.5l,6er Pack 0.33l,Krombacher Alkoholfrei 6er,Alkoholfrei,Erdinger / Franziskaner 20x0.5l,Weizen,Augustiner / Tegernseer 20x0.5l,Helles;
radler;Radler / Naturtrüb;Getränke;Beer;Kiste 20x0.5l;
rotwein;Rotwein;Getränke;Wine;Merlot,Primitivo,Cabernet 0.75l,Trocken;
weisswein;Weißwein;Getränke;Wine;Riesling,Grauburgunder,Chardonnay 0.75l,Trocken;
rosewein;Roséwein;Getränke;Wine;Trocken 0.75l Flasche;
prosecco;Prosecco;Getränke;Wine;0.75l Flasche;
sekt;Sekt;Getränke;Wine;Rotkäppchen / Henkell 0.75l;
champagner;Champagner;Getränke;Wine;Moët & Chandon 0.75l;
aperol;Aperol;Getränke;Wine;11% 0.7l Flasche;
gin;Gin;Getränke;Wine;Hendrick’s / Tanqueray 0.7l;
wodka;Wodka / Vodka;Getränke;Wine;Absolut / Smirnoff 0.7l;
rum;Rum;Getränke;Wine;Havana Club 3 Jahre 0.7l,Brauner,Weißer;
whiskey;Whisky;Getränke;Wine;Jack Daniel’s 0.7l,Single Malt;
filterkaffee;Kaffee;Getränke;Coffee;Jacobs Krönung 500g,Tchibo,Cappuccino,Landkaffee,Kaffeeextrakt,Arabica,Robusta,Nespresso-Kapseln,Senseo-Pads;
kaffeebohnen;Kaffee (Ganze Bohnen);Getränke;Coffee;Lavazza 1kg,Crema;
espressobohnen;Espresso-Bohnen;Getränke;Coffee;Dunkel geröstet 1kg;
kafeekapseln;Nespresso-Kapseln;Getränke;Coffee;10er Pack Volluto;
kaffeepads;Senseo-Pads;Getränke;Coffee;16er Pack Classic;
instantkaffee;Instant-Kaffee;Getränke;Coffee;Gold 200g Glas;
pfefferminztee;Pfefferminztee;Getränke;Coffee;Teekanne 20 Beutel;
kamillentee;Kamillentee;Getränke;Coffee;20 Beutel;
fruchtetee;Früchtetee;Getränke;Coffee;Hagebutte / Erdbeere 20 Beutel;
schwarztee;Schwarztee;Getränke;Coffee;Twinings 20 Beutel,Earl Grey;
gruntee;Grüner Tee;Getränke;Coffee;20 Beutel;
krautertee;Kräutertee;Getränke;Coffee;20 Beutel,Alpenkräuter;
chaitee;Chai;Getränke;Coffee;Yogi Tea 17 Beutel;
klopapier;Toilettenpapier;Haushalt;Shield;3-lagig,4-lagig,8er Pack,10er Pack;
kuchenrolle;Küchenrolle;Haushalt;Shield;4er Pack,3-lagig;
spulmittel;Spülmittel;Haushalt;Droplets;Pril / Fairy 500ml,Zitrone;
spulmaschinentabs;Spülmaschinentabs;Haushalt;Box;Finish Quantum 60er,Somat;
spulmaschinensalz;Spülmaschinensalz;Haushalt;Box;1.2kg Packung,Spezialsalz;
klarspuler;Klarspüler;Haushalt;Droplets;Finish 1l;
biomullbeutel;Bio-Müllbeutel;Haushalt;Shield;10 Liter 30 Stk,Kompostierbar;
alufolie;Alufolie;Haushalt;Box;30m Rolle,Extra stark;
frischhaltefolie;Frischhaltefolie;Haushalt;Box;75m Rolle;
backpapier;Backpapier;Haushalt;Box;Zuschnitte 30 Stk,Rolle 20m;
gefrierbeutel;Gefrierbeutel;Haushalt;Box;3 Liter 20 Stk,Ziploc,Toppits;
kuchenschwaemme;Küchenschwämme;Haushalt;Box;6er Pack mit Scheuerseite,Glitzi;
spulbuerste;Spülbürste;Haushalt;Box;Holz,Plastik;
microfasertuecher;Microfasertücher;Haushalt;Box;4er Pack bunt;
weichspueler;Weichspüler;Haushalt;Droplets;Lenor / Vernel 1l;
fleckensalz;Fleckensalz / Vanish;Haushalt;Sparkles;Oxi Action 500g;
hygienereiniger;Hygienereiniger;Haushalt;Sparkles;Wäsche-Spüler 1.5l;
allzweckreiniger;Allzweckreiniger;Haushalt;Droplets;Der General 1l,Meister Proper;
badreiniger;Badreiniger;Haushalt;Droplets;Cillit Bang 750ml,Glasreiniger,Sprühflasche 500ml;
wcgel;WC-Reiniger;Haushalt;Droplets;WC-Ente 750ml;
scheuermilch;Scheuermilch;Haushalt;Droplets;Viss 500ml;
rohrfrei;Abflussreiniger;Haushalt;Droplets;Rorax 1l Gel;
entkalker;Entkalker;Haushalt;Droplets;Durgol 2x125ml,Essigessenz;
staubsaugerbeutel;Staubsaugerbeutel;Haushalt;Box;Swirl M50 4er;
feuchte_allzwecktuecher;Feuchte Allzwecktücher;Haushalt;Box;80 Stk Packung;
papierservietten;Papier-Servietten;Haushalt;Box;33x33cm 30 Stk;
kerzen;Kerzen;Haushalt;Flame;Weiß 4er Pack;
teelichter;Teelichter;Haushalt;Flame;100er Pack 4h;
streichhoelzer;Streichhölzer;Haushalt;Flame;10er Schachteln;
feuerzeug;Stabfeuerzeug;Haushalt;Flame;Nachfüllbar 1 Stk;
insektenspray;Insektenspray;Haushalt;Shield;400ml Spray;
batterien;Batterien;Haushalt;Box;Varta / Duracell 8er,8er Pack,AAA (Micro);
schuhcreme;Schuhcreme;Haushalt;Box;Erdal 75ml,Schwarz,Farblos;
textilerfrischer;Textilerfrischer;Haushalt;Droplets;500ml Sprühflasche,Febreze;
grillanzuender;Grillanzünder;Haushalt;Flame;Öko-Würfel 32 Stk;
holzkohle;Holzkohle / Briketts;Haushalt;Flame;3kg Sack;
wolle_strickgarn;Wolle / Strickgarn;Haushalt;Box;50g Knäuel;
paketklebeband;Paketband;Haushalt;Box;Braun 50m;
tesafilm;Tesafilm / Klebestreifen;Haushalt;Box;3er Rolle;
schere;Haushaltsschere;Haushalt;Scissors;1 Stk Edelstahl;
zimmerbesen;Besen;Haushalt;Box;Set mit Schaufel;
bodenwischer;Wischmop-Ersatzbezug;Haushalt;Shield;Vileda Ultramat;
duschgel;Duschgel;Pflege & Gesundheit;Bath;Nivea / Balea 250ml,Sensitive,Sport;
shampoo;Shampoo;Pflege & Gesundheit;Bath;Head & Shoulders 300ml,Volumen,Anti-Schuppen;
haarspulung;Conditioner;Pflege & Gesundheit;Bath;200ml Flasche;
haarkur;Haarkur;Pflege & Gesundheit;Bath;300ml Tiegel;
seife_stueck;Seife;Pflege & Gesundheit;Bath;Dove 100g,Arztseife,Festes Stück;
flussigseife;Flüssigseife;Pflege & Gesundheit;Droplets;500ml Nachfüllbeutel,Aloe Vera,Spender;
zahnpasta;Zahnpasta / Zahncreme;Pflege & Gesundheit;Pill;Sensodyne 75ml,Colgate,Blend-a-med;
zahnbuerste;Zahnbürste;Pflege & Gesundheit;Pill;Mittel 2er Pack,Weich;
elektr_zahnbuerstenkoepfe;Aufsteckbürsten;Pflege & Gesundheit;Pill;4er Pack Precision Clean,Oral-B;
mundspuelung;Mundspülung;Pflege & Gesundheit;Droplets;500ml Flasche,Cool Mint;
zahnseide;Zahnseide;Pflege & Gesundheit;Pill;50m Oral-B EssentialFloss;
bodylotion;Bodylotion / Körpermilch;Pflege & Gesundheit;Bath;Nivea 400ml,Reichhaltig;
handcreme;Handcreme;Pflege & Gesundheit;Bath;Kamill 100ml,Neutrogena;
gesichtscreme;Gesichtscreme;Pflege & Gesundheit;Bath;Tagespflege 50ml,Nachtcreme;
sonnencreme;Sonnencreme;Pflege & Gesundheit;Sun;LSF 30 200ml,LSF 50+;5,6,7,8
aftersun;After-Sun-Lotion;Pflege & Gesundheit;Sun;200ml Flasche;5,6,7,8
rasiergel;Rasiergel / Rasierschaum;Pflege & Gesundheit;Bath;Gillette Fusion 200ml;
rasierer;Einwegrasierer;Pflege & Gesundheit;Scissors;5er Pack 3-Klingen;
rasierklingen;Rasierklingen;Pflege & Gesundheit;Scissors;Fusion5 4er Pack,Gillette;
aftershave;Aftershave-Balsam;Pflege & Gesundheit;Bath;Nivea Men Sensitive 100ml;
wattepads;Wattepads;Pflege & Gesundheit;Box;140 Stk Packung;
wattestaebchen;Wattestäbchen;Pflege & Gesundheit;Box;300 Stk Packung;
taschentuch_box;Abschminktücher;Pflege & Gesundheit;Box;100 Stk Box 3-lagig;
taschentuch_pack;Taschentücher;Pflege & Gesundheit;Box;30x10er Pack;
feuchttuecher_baby;Feuchttücher;Pflege & Gesundheit;Box;Pampers 4er Pack,Baby;
damenbinden;Damenbinden;Pflege & Gesundheit;Heart;Ultra Normal 14 Stk,Always;
tampons;Tampons;Pflege & Gesundheit;Heart;Normal 56 Stk,Super,o.b.;
slipeinlagen;Slipeinlagen;Pflege & Gesundheit;Heart;50 Stk Packung;
pflaster;Pflaster-Sortiment;Pflege & Gesundheit;Heart;20 Stk Strips,Wasserfest,Hansaplast;
blasenpflaster;Blasenpflaster;Pflege & Gesundheit;Heart;5 Stk Fersengröße,Compeed;
verbandpaeckchen;Verband;Pflege & Gesundheit;Heart;DIN 13151-M;
desinfektionsspray;Desinfektionsspray;Pflege & Gesundheit;Droplets;250ml Flasche,Händedesinfektion,Sagrotan;
wundsalbe;Wund- und Heilsalbe;Pflege & Gesundheit;Pill;50g Tube,Bepanthen;
kopfschmerztabletten;Ibuprofen 400 / Paracetamol;Pflege & Gesundheit;Pill;20 Filmtabletten;
erkaltungsbad;Erkältungsbad;Pflege & Gesundheit;Bath;Kneipp 100ml,Eukalyptus;
fieberthermometer;Fieberthermometer;Pflege & Gesundheit;Thermometer;Digital 1 Stk;
nasenspray;Nasenspray;Pflege & Gesundheit;Droplets;Ratiopharm 10ml,Meersalz,Abschwellend;
hustensaft;Hustensaft;Pflege & Gesundheit;Soup;100ml Flasche,Prospan,Mucosolvan;
magnesium;Magnesium-Brausetabletten;Pflege & Gesundheit;Pill;20er Röhrchen 400mg;
vitaminc;Vitamin C + Zink Brause;Pflege & Gesundheit;Pill;20er Röhrchen;
